Time (s),Cam1 Fiducial ID,Cam1 Position X,Cam1 Position Y,Cam1 Position Z,Cam1 Rotation X,Cam1 Rotation Y,Cam1 Rotation Z,Cam1 Rotation W,Cam2 Fiducial ID,Cam2 Position X,Cam2 Position Y,Cam2 Position Z,Cam2 Rotation X,Cam2 Rotation Y,Cam2 Rotation Z,Cam2 Rotation W
1732031444.693739,1,0.00020073778183215423,-5.491442737164411e-05,0.00010294789788314578,0.0009647623587522902,0.00019360856605367364,-4.784057207692014e-06,0.9999995158630963,1,0.0002093015988864385,1.264474870530595e-05,0.0002159234831539818,0.0023874752677213967,0.002003127920727358,1.0958660697701668e-05,0.9999951436483515
1732031444.7091646,1,8.248106568932583e-05,5.475760017510515e-05,0.0008457109963807595,-5.593074188868972e-05,-0.00814022560805888,0.0013973648185039112,0.9999658899034336,1,1.0372465086300875e-05,9.730635664629425e-07,5.252543238322948e-05,0.008722337393075145,-4.574128500524588e-05,2.8885208727606914e-05,0.9999619582283023
1732031444.7264605,1,-0.00017110475798009752,8.968712262179008e-05,0.0011535565116318385,-0.0012301697856203274,-0.009409187514190424,0.0016361778517289508,0.9999536373225805,1,-0.00024426101604395166,-8.665699673178977e-06,1.5764570791077764e-05,0.007119596246350138,-0.00016821379489051464,0.00010689737953300011,0.9999746354915001
1732031444.7425585,1,-0.00035939965049592535,-7.0768313560385506e-06,0.0005849886249772864,-0.00035115614370150576,-0.00552550533143906,0.0009816411998250802,0.9999841908054096,1,-0.0003815158131621816,-1.4950014006501658e-05,9.95655362885447e-05,0.0011018437528653815,0.0002970299587084525,3.770268404149483e-05,0.9999993481458154
1732031444.7619996,1,-0.0003740097322364601,-8.439637763826762e-05,0.00010387332101235517,0.0009010728619411214,0.0035392437656665116,-0.0005669880850725225,0.9999931701495646,1,-0.0003508375232658092,-2.3140759885873153e-05,-0.0001609412347727118,-0.007653268544369447,-0.001683392076372321,-3.6103616646215484e-05,0.9999692957127403
1732031444.7774024,1,-0.00020571966103002476,-0.00010450868319450429,-5.794186814236567e-05,0.00088634689871275,0.008747098034607423,-0.0014489002073708643,0.999960300888659,1,-0.00022312913018609904,-8.558127363933472e-06,-0.00043566055761102803,0.01174033483368716,0.12393501259254977,-0.0013429509022527045,0.9922199724227243
1732031444.7932181,1,2.9352878468530157e-05,-0.00010110221185742887,-0.00010905263563366239,0.0009156900715278082,0.008312369518862465,-0.0012977764535857294,0.9999641902593068,1,5.508913268982383e-06,7.843876179764722e-06,-0.0002723004590366931,0.008306887648454392,0.1222536013434034,-0.0009220757392864296,0.9924637032922137
1732031444.8117387,1,0.00014961666998259567,-5.4528288944751816e-05,0.00016507795022863546,0.0010026875923987214,0.0009670540703020234,-0.00012460751897823007,0.9999990219480134,1,0.00013570456416820022,7.947093062507594e-06,-0.00010384249273694979,0.0019148466162620132,2.152970500490832e-05,-4.6426212741312365e-05,0.9999981653700745
1732031444.8260188,1,8.049101424774017e-05,-6.6184443649355365e-06,0.0005466544361504309,0.0004999847338519351,-0.006061430994623864,0.001119153022882251,0.9999808781002139,1,2.2173095554189862e-05,-2.8519798306029183e-07,4.2745142397129574e-05,0.007626874310316429,0.000251138600468366,-2.4385295208591402e-05,0.9999708831376117
1732031444.8427482,1,-0.00012430595889354883,2.8158824884000516e-05,0.0008205317061020165,-0.000975421533866261,-0.009455327180086116,0.0015477007876379544,0.9999536239061394,1,-0.00021308501764706307,-6.207308203701583e-06,-0.00017570842826386066,0.007346988241350778,-0.0001428506388226552,2.1244632893039194e-05,0.9999730000885734
